Gemeindeschlüsselnummer;Gemeindename;Durchschnittliche Wohnfläche je Wohnung (qm);Durchschnittliche Anzahl der Räume je Wohnung (qm)
92710113113;Auerbach (Landkreis Deggendorf);130,8;5,6
92710153153;Winzer, M;129,6;5,6
92720121121;Grainet;135;5,6
92740120120;Bodenkirchen;130;5,6
92740172172;Pfeffenhausen, M;128,2;5,6
92740182182;Tiefenbach (Landkreis Landshut);137,3;5,6
92740185185;Vilsheim;137,7;5,6
92750148148;Sonnen;134,2;5,6
92770127127;Julbach;132,1;5,6
92780121121;Feldkirchen (Landkreis Straubing-Bogen);132,8;5,6
92780123123;Geiselhöring, St;133,4;5,6
92780178178;Rattenberg;129,4;5,6
92780197197;Wiesenfelden;130,2;5,6
92785250177;Rain;131,7;5,6
92785252171;Perasdorf;122,6;5,6
92790124124;Loiching;134,3;5,6
92790130130;Niederviehbach;128,8;5,6
92790132132;Pilsting, M;128,8;5,6
92795208125;Mamming;133;5,6
93710111111;Ammerthal;131,6;5,6
93710119119;Edelsfeld;130,8;5,6
93710129129;Hohenburg, M;126,9;5,6
93710154154;Ursensollen;130,4;5,6
93715301123;Gebenbach;127,1;5,6
93720135135;Hohenwarth;125,9;5,6
93720158158;Schorndorf;135,1;5,6
93730112112;Berching, St;129,1;5,6
93730113113;Berg b.Neumarkt i.d.OPf.;134,7;5,6
93730126126;Freystadt, St;132,5;5,6
93740137137;Moosbach, M;126,8;5,6
93745326129;Kirchenthumbach, M;123,5;5,6
93745327140;Neustadt am Kulm, St;124,1;5,6
93745330159;Tännesberg, M;127,5;5,6
93755332153;Holzheim a.Forst;132,5;5,6
93755333127;Deuerling;134,6;5,6
93755334211;Wolfsegg;127,9;5,6
93755335114;Altenthann;130,4;5,6
93755338201;Sünching;130,3;5,6
93765342162;Schwarzach b.Nabburg;122,6;5,6
93770131131;Konnersreuth, M;121,1;5,6
93770133133;Kulmain;124,1;5,6
93775348128;Kastl (Landkreis Tirschenreuth);124,2;5,6
94710172172;Pommersfelden;130,6;5,6
94725415188;Seybothenreuth;132,5;5,6
94735418134;Grub a.Forst;122;5,6
94745420168;Unterleinleiter;129,9;5,6
94745422145;Kunreuth;132,9;5,6
94755431145;Leupoldsgrün;117,7;5,6
94760179179;Tettau, M;111,5;5,6
94765433180;Teuschnitz, St;119,3;5,6
94765434154;Mitwitz, M;118,5;5,6
94780120120;Ebensfeld, M;121,9;5,6
94780176176;Weismain, St;124,3;5,6
95710113113;Arberg, M;123,9;5,6
95715504194;Rügland;130,3;5,6
95715507128;Burk;128,7;5,6
95715508179;Mönchsroth;130,4;5,6
95740135135;Kirchensittenbach;134,4;5,6
95745529145;Offenhausen;131,8;5,6
95760122122;Greding, St;130,9;5,6
95760126126;Heideck, St;130,7;5,6
95775536140;Heidenheim, M;132;5,6
96725606126;Geroda, M;121,9;5,6
96725606149;Schondra, M;127,7;5,6
96725608111;Aura a.d.Saale;130,7;5,6
96725608155;Sulzthal, M;123,8;5,6
96735633151;Oberstreu;122,9;5,6
96735633170;Stockheim (Landkreis Rhön-Grabfeld);122,4;5,6
96735634126;Großbardorf;126;5,6
96735634172;Sulzdorf a.d.Lederhecke;124,2;5,6
96735637147;Nordheim v.d.Rhön;126,4;5,6
96735640127;Großeibstadt;122,4;5,6
96745610118;Breitbrunn;126,5;5,6
96755616179;Willanzheim, M;125,5;5,6
96775621178;Roden;126,8;5,6
96775623133;Gräfendorf;124,8;5,6
96775623149;Karsbach;127;5,6
96785642122;Dingolshausen;132,1;5,6
96785642183;Sulzheim (Landkreis Schweinfurt);129,5;5,6
97710160160;Ried;133,2;5,6
97715701169;Todtenweis;132,3;5,6
97715703144;Kühbach, M;132,4;5,6
97715705163;Schmiechen;127,6;5,6
97715771156;Pöttmes, M;133,4;5,6
97720115115;Altenmünster;127,5;5,6
97720167167;Kutzenhausen;129,2;5,6
97720207207;Thierhaupten, M;130,8;5,6
97725706114;Allmannshofen;133,4;5,6
97725707137;Emersacker;124,8;5,6
97725709168;Langenneufnach;125;5,6
97725709214;Walkertshofen;127,1;5,6
97730122122;Buttenwiesen;125,3;5,6
97735713113;Bächingen a.d.Brenz;124,4;5,6
97745728140;Haldenwang (Landkreis Günzburg);128,1;5,6
97745730191;Waldstetten, M;122,8;5,6
97745732160;Münsterhausen, M;119,9;5,6
97775752118;Bidingen;138,4;5,6
97775753128;Friesenried;127,8;5,6
97780168168;Markt Rettenbach, M;131,4;5,6
97780169169;Markt Wald, M;131,1;5,6
97780196196;Sontheim;127,4;5,6
97785762214;Westerheim (Landkreis Unterallgäu);129,9;5,6
97785764209;Rammingen (Landkreis Unterallgäu);136,9;5,6
97785766199;Stetten (Landkreis Unterallgäu);133,1;5,6
97790155155;Harburg (Schwaben), St;122,4;5,6
97795722130;Deiningen;127,5;5,6
100420000000;Beckingen;125,8;5,6
10515166073;Marnerdeich;116,4;4,8
10515166118;Trennewurth;113,5;4,8
10515172048;Hemmingstedt;108,3;4,8
10515172067;Lieth;112,4;4,8
10515175015;Bunsoh;114,7;4,8
10515178108;Strübbel;127,7;4,8
10535308011;Bliestorf;114,6;4,8
10535313113;Schretstaken;113,7;4,8
10535318015;Bröthen;119,5;4,8
10535318046;Gudow;109,5;4,8
10535318126;Tramm (Kreis Herzogtum Lauenburg);120,5;4,8
10535358051;Harmsdorf (Kreis Herzogtum Lauenburg);117,1;4,8
10535358062;Kittlitz;110,1;4,8
10535373052;Havekost;110;4,8
10535373089;Möhnsen;115;4,8
10535391068;Klinkrade;119,2;4,8
10535391077;Kühsen;116;4,8
10535391112;Schönberg (Kreis Herzogtum Lauenburg);115,5;4,8
10535391130;Wentorf (Amt Sandesneben);118,8;4,8
10545417145;Vollerwiek;116,8;4,8
10545453101;Oster-Ohrstedt;114;4,8
10545453144;Viöl;111,3;4,8
10545488158;Witsum;120,3;4,8
10545489009;Aventoft;120,5;4,8
10545489016;Bosbüll;112,8;4,8
10545489022;Dagebüll;110,6;4,8
10545489131;Süderlügum;111;4,8
10545492096;Oldersbek;115,1;4,8
10545492120;Simonsberg;108,3;4,8
10545492130;Süderhöft;138,3;4,8
10550018018;Grube;102,5;4,8
10555591038;Schönwalde am Bungsberg;108,7;4,8
10565636010;Brande-Hörnerkirchen;118,6;4,8
10565687047;Tangstedt (Kreis Pinneberg);117,7;4,8
10565690024;Heist;114,4;4,8
10565690036;Moorrege;112,8;4,8
10570001001;Ascheberg (Holstein);105,3;4,8
10575727035;Klamp;107,1;4,8
10575739015;Dersau;113,5;4,8
10575755040;Krokau;110,1;4,8
10575755063;Probsteierhagen;106,2;4,8
10585803093;Krummwisch;117,4;4,8
10585830019;Böhnhusen;116;4,8
10585853075;Hörsten;122,7;4,8
10585889109;Negenharrie;113,2;4,8
10585889170;Wattenbek;107,1;4,8
10585890024;Borgstedt;116,5;4,8
10585893052;Fleckeby;112,4;4,8
10585893137;Rieseby;110,5;4,8
10585895061;Gokels;113,2;4,8
10595912174;Wanderup;115,9;4,8
10595915032;Geltorf;117,9;4,8
10595952115;Großenwiehe;112,4;4,8
10595974063;Norderbrarup;110,9;4,8
10595987008;Böklund;106,8;4,8
10595990102;Ahneby;117,5;4,8
10595990168;Stoltebüll;111,3;4,8
10595990186;Steinbergkirche;113,2;4,8
10605005009;Bimöhlen;114,7;4,8
10605005027;Großenaspe;111,2;4,8
10605005031;Hagen;122;4,8
10605024072;Schmalensee;110,8;4,8
10605024086;Tarbek;122;4,8
10605043036;Hasenmoor;123,9;4,8
10605043064;Nützen;124,4;4,8
10605048047;Kisdorf;117,7;4,8
10605048077;Sievershütten;116,3;4,8
10605053041;Högersdorf;116,6;4,8
10605053053;Leezen (Kreis Segeberg);114;4,8
10605053057;Mözen;121,5;4,8
10605053101;Wittenborn;119,4;4,8
10605086006;Bahrenhof;114,2;4,8
10605086048;Klein Gladebrügge;115,5;4,8
10605086091;Traventhal;112,2;4,8
10605086093;Wakendorf I;115;4,8
10615104079;Oelixdorf;105,7;4,8
10615134044;Horst (Holstein);111,9;4,8
10615138034;Heiligenstedten;109,1;4,8
10615138114;Winseldorf;113;4,8
10615153026;Elskop;114,4;4,8
10615153092;Rethwisch (Kreis Steinburg);102,1;4,8
10615168097;Schenefeld;110;4,8
10615168107;Wacken;111,8;4,8
10625218005;Bargfeld-Stegen;114,8;4,8
10625218014;Delingsdorf;111,9;4,8
10625218027;Hammoor;115,6;4,8
10625244003;Badendorf;116,4;4,8
10625244025;Hamberge;117,4;4,8
10625244048;Mönkhagen;113,6;4,8
10625244083;Westerau;117,9;4,8
10625270045;Lütjensee;121;4,8
31515404013;Isenbüttel;110,9;4,8
31515407038;Wesendorf;111,6;4,8
31530012012;Seesen, Stadt;103,3;4,8
31590007007;Bovenden, Flecken;110,6;4,8
32410004004;Burgwedel, Stadt;117,3;4,8
32410008008;Isernhagen;118,4;4,8
32410012012;Neustadt am Rübenberge, Stadt;112;4,8
32410013013;Pattensen, Stadt;111,7;4,8
32410016016;Sehnde, Stadt;110,9;4,8
32410017017;Springe, Stadt;106,1;4,8
32410020020;Wennigsen (Deister);112,1;4,8
32510012012;Diepholz, Stadt;107,7;4,8
32515401023;Lemförde, Flecken;112,8;4,8
32570028028;Obernkirchen, Stadt;105;4,8
32575406032;Rodenberg, Stadt;112,7;4,8
33510010010;Faßberg;106;4,8
33510023023;Wietze;110,2;4,8
33510024024;Winsen (Aller);112,6;4,8
33515404021;Wathlingen;109,5;4,8
33525407022;Hemmoor, Stadt;106,3;4,8
33525411063;Cadenberge;105,9;4,8
33530029029;Rosengarten (Landkreis Harburg);119,9;4,8
33530032032;Stelle;111,9;4,8
33535402024;Marxen;118,5;4,8
33535403008;Drestedt;117,1;4,8
33535405030;Salzhausen;116,3;4,8
33545403007;Gorleben;108,5;4,8
33545406019;Neu Darchau;106,1;4,8
33555405024;Melbeck;110,6;4,8
33555407003;Artlenburg, Flecken;114,8;4,8
33555407018;Hittbergen;115,5;4,8
33555407021;Lüdersburg;119,9;4,8
33555407033;Scharnebeck;115,2;4,8
33560005005;Lilienthal;114,9;4,8
33560007007;Osterholz-Scharmbeck, Stadt;109,8;4,8
33565401004;Holste;110,8;4,8
33580019019;Schneverdingen, Stadt;108,7;4,8
33580024024;Walsrode, Stadt;107,7;4,8
33585402003;Böhme;113,9;4,8
33585403020;Schwarmstedt;112,3;4,8
33590028028;Jork;112,1;4,8
33595402017;Fredenbeck;114,3;4,8
33595406033;Neuenkirchen (Landkreis Stade);112,3;4,8
33595407018;Freiburg (Elbe), Flecken;105,8;4,8
33595409025;Himmelpforten;109,5;4,8
33605407012;Jelmstorf;101,9;4,8
34525403008;Hage, Flecken;104,4;4,8
34525403009;Hagermarsch;98,2;4,8
34530004004;Cloppenburg, Stadt;111,1;4,8
34550007007;Jever, Stadt;106,7;4,8
34550014014;Sande;106,5;4,8
34550026026;Varel, Stadt;105,7;4,8
34590019019;Georgsmarienhütte, Stadt;106,7;4,8
34595401030;Quakenbrück, Stadt;106;4,8
34610004004;Elsfleth, Stadt;105,8;4,8
34610006006;Lemwerder;103,3;4,8
34625402009;Nenndorf;106,1;4,8
51540044044;Rees, Stadt;109,3;4,8
51540048048;Rheurdt;112,7;4,8
51540052052;Straelen, Stadt;112;4,8
51620028028;Rommerskirchen;111,9;4,8
51700016016;Hünxe;113,7;4,8
53580040040;Merzenich;110,7;4,8
53700040040;Wegberg, Stadt;112,2;4,8
53740020020;Lindlar;111,3;4,8
53740044044;Waldbröl, Stadt;107,5;4,8
53740048048;Wiehl, Stadt;110,1;4,8
53780012012;Kürten;113,7;4,8
53820016016;Eitorf;108,8;4,8
53820028028;Lohmar, Stadt;114,8;4,8
55580012012;Coesfeld, Stadt;106;4,8
55580024024;Lüdinghausen, Stadt;109,9;4,8
55660040040;Lengerich, Stadt;105,6;4,8
55660048048;Lotte;104,9;4,8
55700044044;Telgte, Stadt;111,9;4,8
55700052052;Warendorf, Stadt;108,7;4,8
57540036036;Schloß Holte-Stukenbrock, Stadt;109,4;4,8
57540048048;Versmold, Stadt;109,1;4,8
57580016016;Hiddenhausen;108,6;4,8
57660004004;Augustdorf;105,2;4,8
57660048048;Leopoldshöhe;108;4,8
59620044044;Nachrodt-Wiblingwerde;106,3;4,8
59620048048;Neuenrade, Stadt;104;4,8
59660004004;Attendorn, Hansestadt;105,2;4,8
59740032032;Möhnesee;110,7;4,8
59740056056;Wickede (Ruhr);105,2;4,8
59780012012;Fröndenberg/Ruhr, Stadt;107,6;4,8
64310005005;Bürstadt, Stadt;111;4,8
64310015015;Lindenfels, Stadt;109,5;4,8
64310016016;Lorsch, Karolingerstadt;112,3;4,8
64310017017;Mörlenbach;112,4;4,8
64310022022;Zwingenberg, Stadt;112,5;4,8
64320001001;Alsbach-Hähnlein;112,8;4,8
64320010010;Groß-Umstadt, Stadt;110,5;4,8
64320012012;Messel;113,1;4,8
64320019019;Reinheim, Stadt;109,1;4,8
64330001001;Biebesheim am Rhein;106,8;4,8
64340007007;Neu-Anspach, Stadt;113,7;4,8
64350020020;Neuberg;113,9;4,8
64350021021;Nidderau, Stadt;112,8;4,8
64360002002;Eppstein, Stadt;115,7;4,8
64370009009;Höchst i. Odw.;107,2;4,8
64370011011;Michelstadt, Stadt;105,1;4,8
64400004004;Büdingen, Stadt;112;4,8
64400025025;Wöllstadt;108,8;4,8
65310003003;Buseck;110,6;4,8
65310011011;Lich, Stadt;108,9;4,8
65310014014;Pohlheim, Stadt;108,9;4,8
65310018018;Wettenberg;113,2;4,8
65320003003;Braunfels, Stadt;110,4;4,8
65330003003;Bad Camberg, Stadt;111,8;4,8
65330007007;Hadamar, Stadt;109,2;4,8
66320018018;Rotenburg a. d. Fulda, Stadt;102,7;4,8
66330008008;Fuldabrück;108,7;4,8
66330009009;Fuldatal;105,7;4,8
66330012012;Helsa;105,9;4,8
66340014014;Melsungen, Stadt;104,9;4,8
66340022022;Schwalmstadt, Konfirmationsstadt;104,9;4,8
71315001050;Meuspath;101,2;4,8
71315002068;Rech;109,2;4,8
71325006044;Hamm (Sieg);106,7;4,8
71325009006;Betzdorf, Stadt;101,6;4,8
71325010049;Hemmelzen;108,8;4,8
71325010055;Horhausen (Westerwald);114,9;4,8
71335006117;Rüdesheim;111,2;4,8
71335009042;Heinzenberg;85,1;4,8
71335009052;Kirn, Stadt;99,6;4,8
71335010065;Meisenheim, Stadt;108;4,8
71335010501;Bad Sobernheim, Stadt;104,3;4,8
71345002010;Birkenfeld, Stadt;99,9;4,8
71355001069;Nehren (Landkreis Cochem-Zell);115,1;4,8
71375008209;Kaltenengers;106,1;4,8
71375008211;Kettig;107,4;4,8
71385007019;Erpel;110,7;4,8
71385007062;Rheinbreitbach;116,1;4,8
71400501501;Boppard, Stadt;106,3;4,8
71405008125;Rheinböllen, Stadt;106,3;4,8
71405009036;Emmelshausen, Stadt;110,9;4,8
71415007092;Nastätten, Stadt;108,1;4,8
71435005062;Ransbach-Baumbach, Stadt;115,2;4,8
71435009293;Stahlhofen am Wiesensee;102,7;4,8
71435009308;Westerburg, Stadt;104,9;4,8
72315009124;Traben-Trarbach, Stadt;103,6;4,8
72335001063;Schalkenmehren;106,5;4,8
72335001501;Daun, Stadt;106,6;4,8
72335004243;Ueß;124;4,8
72335006026;Gerolstein, Stadt;107,2;4,8
72335006041;Lissendorf;104,3;4,8
72355006125;Schweich, Stadt;109,8;4,8
73315006073;Wörrstadt, Stadt;111,9;4,8
73320025025;Haßloch;110,5;4,8
73325002019;Freinsheim, Stadt;113,9;4,8
73325005032;Lambrecht (Pfalz), Stadt;103,1;4,8
73345001001;Bellheim;114,4;4,8
73345002008;Hagenbach, Stadt;112,5;4,8
73345006025;Rülzheim;113,1;4,8
73355011022;Landstuhl, Sickingenstadt, Stadt;108,6;4,8
73365010055;Kusel, Stadt;100,3;4,8
73385004003;Birkenheide;113,6;4,8
73385008026;Waldsee;113,9;4,8
73395006042;Nieder-Olm, Stadt;114,5;4,8
73405001021;Hirschthal;104,3;4,8
81155003010;Deckenpfronn;113,1;4,8
81155004002;Altdorf (Landkreis Böblingen);112,9;4,8
81165002054;Owen, Stadt;109,7;4,8
81165003005;Altdorf (Landkreis Esslingen);111,2;4,8
81165003008;Bempflingen;106,6;4,8
81165003063;Schlaitdorf;112,2;4,8
81165008029;Holzmaden;108,5;4,8
81165008043;Neidlingen;109,6;4,8
81175001014;Deggingen;106,7;4,8
81175004007;Bad Überkingen;112,7;4,8
81175005055;Wangen;108,7;4,8
81175006015;Donzdorf, Stadt;109,1;4,8
81175008001;Adelberg;113,5;4,8
81175008009;Birenbach;109,7;4,8
81175009017;Dürnau (Landkreis Göppingen);107,8;4,8
81175009060;Zell unter Aichelberg;110,3;4,8
81175010003;Albershausen;108,3;4,8
81185001016;Freudental;111;4,8
81185001028;Hessigheim;108,3;4,8
81185007070;Steinheim an der Murr, Stadt;110,3;4,8
81185008012;Eberdingen;109,1;4,8
81185008059;Oberriexingen, Stadt;112;4,8
81195001003;Allmersbach im Tal;110,4;4,8
81195001006;Auenwald;109,9;4,8
81195001018;Burgstetten;107,6;4,8
81195004024;Großerlach;107,3;4,8
81255001078;Oedheim;110,3;4,8
81255001079;Offenau;108,4;4,8
81255003013;Brackenheim, Stadt;109,6;4,8
81255004026;Eppingen, Stadt;113,4;4,8
81255007063;Möckmühl, Stadt;107,5;4,8
81255009069;Neuenstadt am Kocher, Stadt;112,6;4,8
81255011059;Löwenstein, Stadt;111,5;4,8
81255013061;Massenbachhausen;112,7;4,8
81255013086;Schwaigern, Stadt;111;4,8
81255014021;Eberstadt;108;4,8
81265004060;Niedernhall, Stadt;105,7;4,8
81275009056;Michelbach an der Bilz;113,7;4,8
81350020020;Herbrechtingen, Stadt;104,4;4,8
81365001021;Essingen (Landkreis Ostalbkreis);112,5;4,8
81365003019;Ellwangen (Jagst), Stadt;108,1;4,8
81365008044;Mutlangen;111,7;4,8
82150047047;Marxzell;114,3;4,8
82150064064;Östringen, Stadt;112,6;4,8
82150089089;Walzbachtal;112,7;4,8
82155005059;Oberderdingen;114,1;4,8
82165003005;Bietigheim;113,9;4,8
82165004029;Loffenau;114,1;4,8
82165005033;Muggensturm;112,7;4,8
82165005039;Ötigheim;115,1;4,8
82165006028;Lichtenau, Stadt (Landkreis Rastatt);114,1;4,8
82255005067;Neckarzimmern;105,6;4,8
82265003040;Laudenbach (Landkreis Rhein-Neckar-Kreis);114;4,8
82265004068;Reilingen;115,8;4,8
82265007080;Schönau, Stadt;110,5;4,8
82350080080;Wildberg, Stadt;113;4,8
82355002007;Althengstett;108,6;4,8
82355002057;Ostelsheim;110;4,8
82355002067;Simmozheim;112,3;4,8
82355007032;Haiterbach, Stadt;108;4,8
82360028028;Illingen (Landkreis Enzkreis);108,1;4,8
82360070070;Keltern;113;4,8
82360072072;Straubenhardt;114,5;4,8
82365001019;Friolzheim;111,7;4,8
82365001039;Mönsheim;111,6;4,8
82365001065;Wiernsheim;114,7;4,8
82365003038;Maulbronn, Stadt;109,4;4,8
82365006031;Kieselbronn;114,2;4,8
82370002002;Alpirsbach, Stadt;108;4,8
82375001030;Glatten;107,1;4,8
82375003040;Horb am Neckar, Stadt;107,5;4,8
83155006008;Ballrechten-Dottingen;119,5;4,8
83155007125;Wittnau;120,2;4,8
83155010039;Friedenweiler;109,5;4,8
83155017031;Eisenbach (Hochschwarzwald);107,3;4,8
83165003024;Malterdingen;111,4;4,8
83165003054;Freiamt;112,3;4,8
83165004053;Rheinhausen;116;4,8
83165005013;Forchheim;116,7;4,8
83165005038;Sasbach am Kaiserstuhl;116,3;4,8
83165005051;Wyhl am Kaiserstuhl;111,9;4,8
83175001116;Sasbach;113,3;4,8
83175003097;Ohlsbach;113,9;4,8
83175004029;Fischerbach;112,8;4,8
83175004046;Hofstetten (Landkreis Ortenaukreis);114,2;4,8
83175006056;Kappelrodeck;109,6;4,8
83175008098;Oppenau, Stadt;108,3;4,8
83175010021;Durbach;115,3;4,8
83255003069;Zimmern ob Rottweil;111;4,8
83265004075;Brigachtal;112,8;4,8
83275004002;Aldingen;107,8;4,8
83355001001;Aach, Stadt;115,7;4,8
83355006021;Eigeltingen;116;4,8
83365007034;Hasel;114,3;4,8
83365008073;Rümmingen;113,7;4,8
83370002002;Albbruck;113,6;4,8
83375008123;Wutöschingen;112,9;4,8
84155002029;Grafenberg;112,1;4,8
84155003053;Münsingen, Stadt;107,7;4,8
84155004060;Pliezhausen;113,4;4,8
84160009009;Dettenhausen;111,3;4,8
84160023023;Kusterdingen;108,6;4,8
84160048048;Ammerbuch;108,3;4,8
84165002031;Ofterdingen;110,3;4,8
84255004031;Dornstadt;112,2;4,8
84255005033;Ehingen (Donau), Stadt;107,4;4,8
84255007071;Laichingen, Stadt;110,1;4,8
84265004066;Kirchdorf an der Iller;111,5;4,8
84355004054;Stetten (Landkreis Bodenseekreis);109,6;4,8
84355006042;Neukirch (Landkreis Bodenseekreis);113,7;4,8
84365003079;Waldburg;116;4,8
84365005013;Berg (Landkreis Ravensburg);118,7;4,8
84365006078;Vogt;112,1;4,8
84365007001;Achberg;120,1;4,8
84365007006;Amtzell;115,9;4,8
84365008083;Wilhelmsdorf (Landkreis Ravensburg);111,1;4,8
84375002076;Mengen, Stadt;107,8;4,8
84375003078;Meßkirch, Stadt;108,2;4,8
84375004056;Illmensee;112,2;4,8
91710117117;Garching a.d.Alz;104,6;4,8
91720129129;Ramsau b.Berchtesgaden;105,1;4,8
91740135135;Odelzhausen;113,1;4,8
91740136136;Petershausen;109,6;4,8
91750111111;Anzing;116,2;4,8
91750123123;Hohenlinden;115,2;4,8
91750133133;Pliening;116,1;4,8
91755114116;Egmating;118,7;4,8
91755114121;Glonn, M;113,8;4,8
91775123116;Eitting;115,3;4,8
91805133129;Saulgrub;105,5;4,8
91805136131;Schwaigen;109,7;4,8
91805137128;Riegsee;115,4;4,8
91820127127;Otterfing;116,8;4,8
91830119119;Haag i.OB, M;110,4;4,8
91840137137;Aying;118,1;4,8
91840141141;Sauerlach;121,3;4,8
91860113113;Baar-Ebenhausen;110,5;4,8
91870167167;Riedering;118,8;4,8
91875165170;Rott a.Inn;112,5;4,8
91880126126;Inning a.Ammersee;122,3;4,8
91880144144;Weßling;115,7;4,8
91880145145;Wörthsee;120,5;4,8
91890111111;Altenmarkt a.d.Alz;114,5;4,8
91890119119;Grabenstätt;116,7;4,8
91895169146;Staudach-Egerndach;109,6;4,8
91905179152;Seeshaupt;119,7;4,8
92730152152;Neustadt a.d.Donau, St;108,7;4,8
92740113113;Altdorf, M;107,9;4,8
92740184184;Vilsbiburg, St;109,1;4,8
92750141141;Pocking, St;110,6;4,8
92750154154;Vilshofen an der Donau, St;110,9;4,8
93720116116;Cham, St;109;4,8
93720126126;Furth im Wald, St;107,2;4,8
93740168168;Windischeschenbach, St;105;4,8
93750180180;Pentling;113,3;4,8
93750190190;Regenstauf, M;106,6;4,8
93750204204;Tegernheim;111,2;4,8
93770158158;Waldsassen, St;101,7;4,8
94720198198;Warmensteinach;109,4;4,8
94730159159;Rödental, St;105,8;4,8
94750154154;Münchberg, St;96,9;4,8
94750158158;Oberkotzau, M;104,1;4,8
94760145145;Kronach, St;101,9;4,8
95720119119;Bubenreuth;109;4,8
95725514120;Buckenhof;105,7;4,8
95725514154;Spardorf;113,6;4,8
95730111111;Ammerndorf, M;110,9;4,8
95730120120;Langenzenn, St;110,6;4,8
95735517126;Seukendorf;115,7;4,8
95740155155;Schnaittach, M;110,9;4,8
95740157157;Schwarzenbruck;112,3;4,8
95760137137;Rednitzhembach;111,6;4,8
95760151151;Wendelstein, M;110,8;4,8
95770161161;Pleinfeld, M;109,8;4,8
95770173173;Treuchtlingen, St;104,9;4,8
96710114114;Karlstein a.Main;106,3;4,8
96710124124;Haibach (Landkreis Aschaffenburg);113,2;4,8
96720163163;Wildflecken, M;105,6;4,8
96760126126;Großwallstadt;111,8;4,8
96760160160;Sulzbach a.Main, M;108,6;4,8
96765630133;Kleinwallstadt, M;108,9;4,8
96785642134;Gerolzhofen, St;103,5;4,8
96790142142;Güntersleben;110,6;4,8
96790180180;Rimpar, M;109,1;4,8
96790205205;Waldbüttelbrunn;108,5;4,8
96795651154;Kist;108,3;4,8
97710130130;Friedberg, St;110;4,8
97710142142;Kissing;107,8;4,8
97725711209;Untermeitingen;112,6;4,8
97740121121;Burgau, St;105,4;4,8
97750115115;Bellenberg;108,6;4,8
97750134134;Nersingen;106,7;4,8
97750139139;Elchingen;109,5;4,8
97750164164;Weißenhorn, St;109,5;4,8
97760122122;Opfenbach;111,5;4,8
97760131131;Hergatz;114,2;4,8
97785764203;Türkheim, M;109,2;4,8
97785768144;Bad Grönenbach, M;113,6;4,8
97800114114;Betzigau;113,5;4,8
97800117117;Buchenberg, M;116,8;4,8
97800119119;Dietmannsried, M;112,2;4,8
97800125125;Lauben (Landkreis Oberallgäu);111,4;4,8
97800146146;Wiggensbach, M;117,6;4,8
97800147147;Wildpoldsried;114,7;4,8
146275000000;Glaubitz;100,3;4,8
150855000000;Ditfurt;105;4,8
150875000000;Berga;101,7;4,8
150900000000;Bismark (Altmark), Stadt;104,5;4,8
150910000000;Annaburg, Stadt;95,6;4,8
160765000000;Braunichswalde;98,8;4,8
10515169030;Fedderingen;148,6;5,7
10535391122;Steinhorst (Kreis Herzogtum Lauenburg);126,1;5,7
10545453092;Norstedt;132,4;5,7
10545489034;Friedrich-Wilhelm-Lübke-Koog;142,4;5,7
10585890111;Neu Duvenstedt;148,2;5,7
10585895156;Steenfeld;135,1;5,7
10595937118;Grundhof;127,4;5,7
10595987097;Twedt;130,4;5,7
10615138024;Drage (Kreis Steinburg);140,1;5,7
10615138084;Peissen;137,5;5,7
10615189064;Lockstedt;135,5;5,7
31515402003;Bergfeld;133,5;5,7
31515403028;Sprakensehl;132,4;5,7
31515407033;Ummern;134;5,7
31545402002;Beierstedt;127,1;5,7
31545402006;Gevensleben;131,7;5,7
31550006006;Kalefeld;128,5;5,7
31585403005;Cramme;127,7;5,7
31585403014;Flöthe;129;5,7
31595401024;Niemetal;129,6;5,7
31595402006;Bodensee;129,5;5,7
31595402027;Rhumspringe;123,6;5,7
31595402028;Rollshausen;126,5;5,7
31595403012;Elbingerode;135,9;5,7
31595403039;Wulften am Harz;126,5;5,7
32515402017;Eydelstedt;131,2;5,7
32515405019;Hemsloh;136;5,7
32515406015;Ehrenburg;133,8;5,7
32555401021;Holenberg;125,6;5,7
32555401030;Negenborn;126,7;5,7
32565407029;Steimbke;132,1;5,7
32565409009;Hämelhausen;131,3;5,7
32565410017;Landesbergen;131,2;5,7
32565411001;Balge;136,9;5,7
32565411002;Binnen;135,3;5,7
33515403008;Eldingen;131,7;5,7
33515403015;Hohne;129,3;5,7
33525404024;Hollnseth;132,2;5,7
33575403004;Basdahl;133,9;5,7
33575403035;Oerel;132,3;5,7
33575404042;Seedorf (Landkreis Rotenburg (Wümme));133,9;5,7
33575407052;Vorwerk;137,2;5,7
33605404015;Oetzen;135,1;5,7
33605405007;Eimke;132,7;5,7
33605407010;Hanstedt;139,7;5,7
34530006006;Essen (Oldenburg);131,9;5,7
34530011011;Löningen, Stadt;131,3;5,7
34540018018;Haren (Ems), Stadt;129;5,7
34540019019;Haselünne, Stadt;130,7;5,7
34545401056;Walchum;131,6;5,7
34545403021;Herzlake;133,7;5,7
34575403008;Filsum;129,6;5,7
34585401002;Colnrade;141,9;5,7
34585401015;Winkelsett;137,4;5,7
34600005005;Holdorf (Landkreis Vechta);132,7;5,7
34625402013;Schweindorf;128,3;5,7
55660072072;Recke;125,8;5,7
57620028028;Nieheim, Stadt;125,1;5,7
57700044044;Stemwede;133,8;5,7
64350004004;Birstein;130,1;5,7
65320009009;Eschenburg;121,9;5,7
65320017017;Mittenaar;123,7;5,7
